"global_category","indicator_name","value","count"
"Overview","Conditionality of technology transfer","NDC contribution conditional to technology transfer",205
"Overview","Conditionality of technology transfer","not mentioned",138
"Overview","Conditionality of technology transfer","#N/A",28
"Overview","Conditionality of technology transfer","technology transfer mentioned",4
"Overview","Conditionality of technology transfer","Technology transfer (partly) conditional to NDC implementation",2
"Overview","Conditionality of technology transfer","NDC contribution conditional to technology transfer (mitigation and adaptation)",1
"Overview","Conditionality of technology transfer","No Document Submitted",1
"Overview","Conditionality of technology transfer","Technology transfer mentioned",1
"Overview","Conditionality of technology transfer","Technology transfer not mentioned",1
