"global_category","indicator_name","value","count","Buildings","Buildings: General","GlobalScore"
"Mitigation","Buildings","No specified measure",310,0,0,0
"Mitigation","Buildings","Buildings",69,1,0,1
"Mitigation","Buildings","Buildings: General",1,1,1,2
"Mitigation","Buildings","No Document Submitted",1,0,0,0
