"global_category","indicator_name","value","count","2","2.07","2.7","7.7","GlobalScore"
"Mitigation","Targeted emissions intensity per capita (tCO2eq per capita)","2",4,1,0,0,0,1
"Mitigation","Targeted emissions intensity per capita (tCO2eq per capita)","2.07",2,1,1,0,0,2
"Mitigation","Targeted emissions intensity per capita (tCO2eq per capita)","2.7",2,1,0,1,0,2
"Mitigation","Targeted emissions intensity per capita (tCO2eq per capita)","7.7",2,0,0,0,1,1
