"global_category","indicator_name","value","count"
"Sectoral Information","Sectoral plans on","Conservation of forest carbon stocks",2
"Sectoral Information","Sectoral plans on","Conserve areas with high environmental functions; restore degraded soils and forests",2
"Sectoral Information","Sectoral plans on","Conserve firewood in residential sector<br>Use energy-efficient air conditioners and heat pumps instead of coal-fired space heating at households and offices",2
"Sectoral Information","Sectoral plans on","Conserve, recover and reuse hydrocarbon resources and minimize flaring and fugitive emissions",2
"Sectoral Information","Sectoral plans on","Construct eco-friendly large, medium and small scale hydro power station, and improve electric power generating efficiency in hydro power stations",2
"Sectoral Information","Sectoral plans on","Construction and refurbishment of new buildings; Construction of passive buildings",2
"Sectoral Information","Sectoral plans on","construction of a smart grid",2
"Sectoral Information","Sectoral plans on","Construction of new transmission lines",2
"Sectoral Information","Sectoral plans on","Construction of road junctions and underground and surface pedestrian crossings",2
"Sectoral Information","Sectoral plans on","Construction of small hydro power plants",2
"Sectoral Information","Sectoral plans on","Continuation of coastal mangrove plantation",2
"Sectoral Information","Sectoral plans on","Continuation of coastal mangrove plantation; Plantation in the island areas of Bangladesh",2
"Sectoral Information","Sectoral plans on","Continue with national plans to reduce waste; Optimize the collection and transportation of waste and residues at the municipal level",2
"Sectoral Information","Sectoral plans on","Continuous Emission Monitoring System (CEMS) - 24X7 real time monitoring of emission and effluent discharge points; Common Effluent Treatment Plants (CETPs) | treat the effluent emanating from the clusters of compatible small - scale industries | Standards for over 2000 industries | reducing quantity of waste water generation, conservation of water, promote Zero Liquid Discharge (ZLD) and use of treated effluent for irrigation.",2
"Sectoral Information","Sectoral plans on","Contribution of 1 million USD to GCF",2
"Sectoral Information","Sectoral plans on","Convert waste cooking oil to biofuel",2
"Sectoral Information","Sectoral plans on","Create urban ecological systems; Promote environmentally friendly building systems",2
"Sectoral Information","Sectoral plans on","creation of biogas plants",2
"Sectoral Information","Sectoral plans on","Creation of new production facilities exclusively on the basis of introducing advanced energy efficient and energy saving technologies.<br>Development of governmental financing schemes and subsidy support to energy saving measures<br>Expansion of applied scientific researches and designs for introduction of energy saving technologies and RES<br>Education and advanced training for specialists in the area of energy saving and RES;<br>Intensification of outreach activities on issues associated with climate change, energy efficiency and resources saving.",2
"Sectoral Information","Sectoral plans on","CSA and bio-farming",2
"Sectoral Information","Sectoral plans on","Decentralized rural electrification",2
"Sectoral Information","Sectoral plans on","Decrease in losses of natural gas with its extraction, processing and transportation;",2
"Sectoral Information","Sectoral plans on","Decrease in specific fuel consumption for generation and use of electric energy;",2
"Sectoral Information","Sectoral plans on","Dedicated Freight Corridors",2
"Sectoral Information","Sectoral plans on","Define a reduction strategy for buildings.",2
"Sectoral Information","Sectoral plans on","Define targerts to reduce GHGs including energy efficiency measures",2
"Sectoral Information","Sectoral plans on","Demand side management: efficiency programs to clip electrical peak demand",2
"Sectoral Information","Sectoral plans on","Deployment of efficient technologies and awareness raising on energy conservation",2
"Sectoral Information","Sectoral plans on","Design and set-up of a national REDD MRV",2
"Sectoral Information","Sectoral plans on","Develop a national monitoring, reporting, and verification system.",2
"Sectoral Information","Sectoral plans on","Develop a plan to improve the resilience of the hydroelectric infrastructure",2
"Sectoral Information","Sectoral plans on","Develop a plan to reduce emissions of all its landfills to be implemented between 2018 and 2025",2
"Sectoral Information","Sectoral plans on","Develop a sustainable energy matrix; Incorporate technologies for the exploitation of new sources of sustainable energy (including solar, wind, biomass)",2
"Sectoral Information","Sectoral plans on","Develop an agro-ecological zone and forest management, agro forestry ecosystems programme by 2025, Management Programme for the Coastal Zone by 2025",2
"Sectoral Information","Sectoral plans on","Develop and implement measures to increase GHG absorption",2
"Sectoral Information","Sectoral plans on","Develop basic infrastructure that will improve transport logistics of agricultural, livestock and fish farming",2
"Sectoral Information","Sectoral plans on","Develop basic infrastructure that will improve transport logistics of agricultural, livestock and fish farming | Develop the production of animal feed supplements for fish and other animals (e.g. silage, etc.)",2
"Sectoral Information","Sectoral plans on","Develop efficient public transport systems",2
