"global_category","indicator_name","value","count"
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Czechia%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC (Czechia)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Democratic%20People's%20Republic%20of%20Korea%20First/2019.09.19_DPRK%20letter%20to%20SG%20special%20envoy%20for%20NDC.pdf"">Updated Nationally Determined Contribution of the DPRK</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Denmark%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC (Denmark)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Dominican%20Republic%20First/Dominican%20Republic%20First%20NDC%20(Updated%20Submission).pdf"">Dominican Republic First NDC (Updated submission)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Estonia%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC (Estonia)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Ethiopia%20First/Ethiopia's%20NDC%20update%20summary%202020.pdf"">Summary of Ethiopia's Updated Nationally Determined Contribution (NDC)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/European%20Union%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Fiji%20First/Republic%20of%20Fiji's%20Updated%20NDC%202020.pdf"">Republic of Fiji First NDC (Updated submission)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Finland%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC (Finland)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/France%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC (France)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Georgia%20First/NDC%20Georgia_ENG%20WEB-approved.pdf"">Georgia Updated First NDC</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Germany%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC (Germany)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Greece%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC (Greece)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Grenada%20Second/GrenadaSecondNDC2020%20-%2001-12-20.pdf"">Grenada Second Nationally Determined Contribution</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Honduras%20First/NDC%20de%20Honduras_%20Primera%20Actualizaci%C3%B3n.pdf"">Honduras First NDC (Updated submission)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Hungary%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC (Hungary)</a>",1
