"global_category","indicator_name","value","count"
"Adaptation","Climate risks: sea level rise","Sea level rise not included/not applicable",150
"Adaptation","Climate risks: sea level rise","Sea level rise mentioned as climate risk",126
"Adaptation","Climate risks: sea level rise","Sea level rise not included/not applicable: landlocked country",74
"Adaptation","Climate risks: sea level rise","#N/A",28
"Adaptation","Climate risks: sea level rise","Extreme events not mentioned",1
"Adaptation","Climate risks: sea level rise","No Document Submitted",1
"Adaptation","Climate risks: sea level rise","Sea level rise mentioned",1
