"global_category","indicator_name","value","count"
"Sectoral Information","Funders for Sectoral Unconditional Actions","GEF",9
"Sectoral Information","Funders for Sectoral Unconditional Actions","French Development Agency (AFD)",8
"Sectoral Information","Funders for Sectoral Unconditional Actions","European Union",6
"Sectoral Information","Funders for Sectoral Unconditional Actions","Adaptation Fund",4
"Sectoral Information","Funders for Sectoral Unconditional Actions","European Development Fund",4
"Sectoral Information","Funders for Sectoral Unconditional Actions","International Fund for Agriculture Development",4
"Sectoral Information","Funders for Sectoral Unconditional Actions","UNEP",4
"Sectoral Information","Funders for Sectoral Unconditional Actions","CIF",3
"Sectoral Information","Funders for Sectoral Unconditional Actions","1. European Development Fund
2. UNDP",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","1. European Union|2. Republic of Djibouti",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","1. UNDP
2. European Union",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","ADB",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","AFD, World Bank",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","African Development Bank",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","African Development Bank,  International Fund for Agriculture Development, Japanese Government",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","African Development Funds",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","Cuban research team, Japan",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","EU|IDB",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","European Investment Bank, Agence Française de Développement (Loan)|African Development Bank",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","French Development Agency (AFD)|Not Available",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","GCCA donors",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","GEF Climate Change Adaptation Fund, UNEP, Government of China",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","Indian Government|BIE|Not Available|Not Available",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","IUCN",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","Republic of Djibouti",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","Special Fund for Energy and Climate",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","The United Arab Emirates",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","The World Bank",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","USAID/OFDA",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","WAEMU",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","World Bank",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","World Bank and UNICEF",2
"Sectoral Information","Funders for Sectoral Unconditional Actions","Agriculture Productivity Fund (APF)",1
"Sectoral Information","Funders for Sectoral Unconditional Actions","GEF|GEF",1
"Sectoral Information","Funders for Sectoral Unconditional Actions","GEF|IFAD",1
"Sectoral Information","Funders for Sectoral Unconditional Actions","IFAD, OPEC, ASAP|Not Available",1
"Sectoral Information","Funders for Sectoral Unconditional Actions","Singapore Government",1
"Sectoral Information","Funders for Sectoral Unconditional Actions","Singapore Government has set up a Coastal and Flood Protection Fund",1
