"global_category","indicator_name","value","count","Not Applicable","1990","2005","2009","2000","2010","GlobalScore"
"Mitigation","Base year/period","Not Applicable",47,1,0,0,0,0,0,1
"Mitigation","Base year/period","1990",13,0,1,0,0,0,0,1
"Mitigation","Base year/period","2005",7,0,0,1,0,0,0,1
"Mitigation","Base year/period","2009",3,0,0,0,1,0,0,1
"Mitigation","Base year/period","2000",2,0,0,0,0,1,0,1
"Mitigation","Base year/period","2010",1,0,0,0,0,0,1,1
