"global_category","indicator_name","value","count","Not Applicable","Not Specified","GlobalScore"
"Mitigation","Projected baseline emissions in target year/period","Not Applicable",62,1,0,1
"Mitigation","Projected baseline emissions in target year/period","Not Specified",11,0,1,1
