"global_category","indicator_name","value","count"
"Sectoral Information","Existing sectoral policies","Implementation of emission reduction process from deforestation and forest degradation (REDD, 2009): engaging in the investment program in forestry (2010); adoption of National Framework Strategy on REDD + (2012); creation of the National REDD + Fund in 2012",2
"Sectoral Information","Existing sectoral policies","In 2007 joined the initiative ""Global Gas Flaring Reduction"" | In 2014 enacted Law No. 011/2014 concerning regulation of the hydrocarbons sector",2
"Sectoral Information","Existing sectoral policies","La Politique Nationale de l’Agriculture | Le Cadre stratégique d'investissement pour la gestion durable des terres  | Le Programme pilote de développement d'une agriculture intelligente et résiliente aux changements climatiques  | Le Programme national d'aménagement pastoral résilient aux Changements Climatiques  | Le Programme de captage et stockage des eaux de pluie",2
"Sectoral Information","Existing sectoral policies","Labeling standards for refrigerators and air conditioners",2
"Sectoral Information","Existing sectoral policies","Law No. 8 | National Energy Plan 2015-2050",2
"Sectoral Information","Existing sectoral policies","Law on energy, 2015",2
"Sectoral Information","Existing sectoral policies","Law on renewable energy, 2015",2
"Sectoral Information","Existing sectoral policies","laws on responsibility of entrepreneurs of greening vehicles",2
"Sectoral Information","Existing sectoral policies","Leadership In Energy & Environmental Design",2
"Sectoral Information","Existing sectoral policies","Majuro Declaration",2
"Sectoral Information","Existing sectoral policies","Mass Rapid Transit System (MRTS)",2
"Sectoral Information","Existing sectoral policies","Master Plan for Renewable Energy and Energy Efficiency in Tuvalu (2012-2020)",2
"Sectoral Information","Existing sectoral policies","Minimum Energy and Performance Standards and Labelling; Master Plan for Renewable Energy and Energy Efficiency in Tuvalu (2012-2020)",2
"Sectoral Information","Existing sectoral policies","Mongolian national livestock programme, 2010",2
"Sectoral Information","Existing sectoral policies","National Agricultural Strategy, 2008-2015 (2008), National Agricultural Investment Plan (2012-2017)",2
"Sectoral Information","Existing sectoral policies","National Agro-food Policy (2011)",2
"Sectoral Information","Existing sectoral policies","National Climate Change Vegetation Resource Strategy",2
"Sectoral Information","Existing sectoral policies","National CSA Framework",2
"Sectoral Information","Existing sectoral policies","National Energy Efficiency Labelling Standards",2
"Sectoral Information","Existing sectoral policies","National Energy Policy, Sustainable Energy Action Plan, Renewable Energy Act of 2015",2
"Sectoral Information","Existing sectoral policies","National Energy Policy, Sustainable Energy Plan",2
"Sectoral Information","Existing sectoral policies","National Energy Policy; National renewable energy Act (Act 832); Set up feed-in-tariff for renewable energy technologies; Established of national renewable energy fund; Design renewable energy purchase obligation; Net metering scheme for households",2
