"global_category","indicator_name","value","count","n/a","0.176 kgCO2e/S$","0.531  per thousand RM","1.02 tCO2e/million CLP$ 2011","GlobalScore"
"Mitigation","Emissions intensity per GDP in base year (tCO2eq per GDP)","n/a",16,1,0,0,0,1
"Mitigation","Emissions intensity per GDP in base year (tCO2eq per GDP)","0.176 kgCO2e/S$",2,0,1,0,0,1
"Mitigation","Emissions intensity per GDP in base year (tCO2eq per GDP)","0.531  per thousand RM",2,0,0,1,0,1
"Mitigation","Emissions intensity per GDP in base year (tCO2eq per GDP)","1.02 tCO2e/million CLP$ 2011",2,0,0,0,1,1
