"global_category","indicator_name","value","count","Tourism: General","Tourism","GlobalScore"
"Adaptation","Tourism","No specified measure",334,0,0,0
"Adaptation","Tourism","Tourism: General",35,1,1,2
"Adaptation","Tourism","Tourism",11,0,1,1
"Adaptation","Tourism","No Document Submitted",1,0,0,0
