"global_category","indicator_name","value","count","2030","2025","n/a","2035","2050","2020-2030","2040","GlobalScore"
"Mitigation","Target year","2030",370,1,0,0,0,0,0,0,1
"Mitigation","Target year","2025",29,0,1,0,0,0,0,0,1
"Mitigation","Target year","n/a",22,0,0,1,0,0,0,0,1
"Mitigation","Target year","2035",5,0,0,0,1,0,0,0,1
"Mitigation","Target year","2050",5,0,0,0,0,1,0,0,1
"Mitigation","Target year","2020-2030",1,1,0,0,0,0,1,0,2
"Mitigation","Target year","2040",1,0,0,0,0,0,0,1,1
