"global_category","indicator_name","value","count"
"Overview","Conditionality of adaptation finance","Not mentioned",139
"Overview","Conditionality of adaptation finance","Partly conditional to contribution",128
"Overview","Conditionality of adaptation finance","Adaptation finance mentioned in NDC",32
"Overview","Conditionality of adaptation finance","Adaptation finance mentioned in INDC",31
"Overview","Conditionality of adaptation finance","#N/A",28
"Overview","Conditionality of adaptation finance","Fully conditional to contribution",18
"Overview","Conditionality of adaptation finance","adaptation finance partly conditional to contribution",2
"Overview","Conditionality of adaptation finance","adaptation finance fully conditional to contribution",1
"Overview","Conditionality of adaptation finance","Adaptation finance not mentioned",1
"Overview","Conditionality of adaptation finance","No Document Submitted",1
