"global_category","indicator_name","value","count","Single-year target","Not Applicable","Single year target","Multi-year target","Not Specified","""Single-year target 2030"," including updates on 2025 targets""<br>""(The NDC interventions will be implemented phase wise as per annual work plan; however"," the selected target year is 2030).""","GlobalScore"
"Mitigation","Single or multi-year target","Single-year target",369,1,0,0,0,0,0,0,0,1
"Mitigation","Single or multi-year target","Not Applicable",66,0,1,0,0,0,0,0,0,1
"Mitigation","Single or multi-year target","Single year target",31,0,0,1,0,0,0,0,0,1
"Mitigation","Single or multi-year target","Multi-year target",29,0,0,0,1,0,0,0,0,1
"Mitigation","Single or multi-year target","Not Specified",3,0,0,0,0,1,0,0,0,1
"Mitigation","Single or multi-year target","""Single-year target 2030, including updates on 2025 targets""<br>""(The NDC interventions will be implemented phase wise as per annual work plan; however, the selected target year is 2030).""",1,1,0,0,0,0,1,1,1,4
"Mitigation","Single or multi-year target","No Document Submitted",1,0,0,0,0,0,0,0,0,0
