"global_category","indicator_name","value","count","2020","Not Applicable","Vary depending on targets","2015","2030","2050","Not Specified","2020 and 2025","2021 and beyond","GlobalScore"
"Mitigation","Target year/period","2020",34,1,0,0,0,0,0,0,0,0,1
"Mitigation","Target year/period","Not Applicable",26,0,1,0,0,0,0,0,0,0,1
"Mitigation","Target year/period","Vary depending on targets",3,0,0,1,0,0,0,0,0,0,1
"Mitigation","Target year/period","2015",2,0,0,0,1,0,0,0,0,0,1
"Mitigation","Target year/period","2030",2,0,0,0,0,1,0,0,0,0,1
"Mitigation","Target year/period","2050",2,0,0,0,0,0,1,0,0,0,1
"Mitigation","Target year/period","Not Specified",2,0,0,0,0,0,0,1,0,0,1
"Mitigation","Target year/period","2020 and 2025",1,1,0,0,0,0,0,0,1,0,2
"Mitigation","Target year/period","2021 and beyond",1,0,0,0,0,0,0,0,0,1,1
