"global_category","indicator_name","value","count"
"Overview","Gender","Not indicated",268
"","Gender","No Sectoral Measure Specified",185
"Overview","Gender","Mentioned",40
"Overview","Gender","Mentioned: specific section on gender",40
"Overview","Gender","#N/A",28
"","Gender","Sectoral Measure Specified",12
"Overview","Gender","Not mentioned",2
"Overview","Gender","Mentioned (in adaptation context)",1
"Overview","Gender","Mentioned: specific section",1
"Overview","Gender","No Document Submitted",1
